yikama_yeri,metrekare,leke_durumu,parca_sayisi,il,ilce,fiyat
Yikamaci,40,"Hayir, standart yeterli",4,Ankara,Cankaya,4299
Yikamaci,40,"Hayir, standart yeterli",2,Antalya,Kepez,3604
Yikamaci,40,"Hayir, standart yeterli",1,Ankara,Kecioren,3805
Yerinde,40,"Hayir, standart yeterli",1,Adana,Seyhan,2616
Yerinde,30,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2729
Yikamaci,10,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,5060
Yerinde,10,"Hayir, standart yeterli",2,Istanbul,Besiktas,4165
Yerinde,30,"Hayir, standart yeterli",4,Istanbul,Kadikoy,4914
Yerinde,20,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,2977
Yikamaci,10,"Hayir, standart yeterli",3,Adana,Cukurova,2512
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Istanbul,Kadikoy,5355
Yerinde,10,"Hayir, standart yeterli",3,Ankara,Cankaya,3387
Yerinde,30,"Hayir, standart yeterli",3,Aydin,Efeler,2890
Yikamaci,30,"Hayir, standart yeterli",1,Antalya,Kepez,3180
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Ankara,Cankaya,3970
Yerinde,40,"Hayir, standart yeterli",1,Adana,Cukurova,2605
Yerinde,40,"Hayir, standart yeterli",2,Antalya,Muratpasa,3238
Yerinde,10,"Hayir, standart yeterli",2,Ankara,Kecioren,3212
Yikamaci,20,"Hayir, standart yeterli",1,Antalya,Kepez,3090
Yerinde,20,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4295
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2583
Yerinde,20,"Hayir, standart yeterli",1,Antalya,Muratpasa,2633
Yerinde,20,"Hayir, standart yeterli",3,Ankara,Cankaya,3498
Yerinde,30,"Hayir, standart yeterli",2,Aydin,Efeler,2710
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,4923
Yerinde,10,"Hayir, standart yeterli",3,Ankara,Cankaya,3266
Yerinde,40,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3447
Yerinde,40,"Hayir, standart yeterli",3,Ankara,Cankaya,3884
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Ankara,Cankaya,3159
Yerinde,10,"Hayir, standart yeterli",1,Aydin,Efeler,2291
Yerinde,30,"Evet, cikmasi gereken lekeler var",4,Antalya,Kepez,3621
Yikamaci,30,"Hayir, standart yeterli",1,Antalya,Muratpasa,3131
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,3119
Yerinde,40,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,4022
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,3338
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2894
Yerinde,20,"Hayir, standart yeterli",4,Ankara,Cankaya,3625
Yerinde,30,"Evet, cikmasi gereken lekeler var",4,Ankara,Kecioren,4159
Yerinde,40,"Hayir, standart yeterli",3,Adana,Cukurova,2805
Yerinde,10,"Hayir, standart yeterli",3,Antalya,Muratpasa,2755
Yerinde,40,"Hayir, standart yeterli",3,Adana,Seyhan,2936
Yerinde,40,"Hayir, standart yeterli",1,Antalya,Kepez,3141
Yerinde,20,"Hayir, standart yeterli",3,Adana,Seyhan,2563
Yikamaci,40,"Hayir, standart yeterli",4,Antalya,Kepez,3803
Yikamaci,30,"Hayir, standart yeterli",1,Aydin,Nazilli,2804
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,4218
Yerinde,30,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4341
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2844
Yerinde,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2738
Yerinde,30,"Hayir, standart yeterli",3,Adana,Seyhan,2797
Yikamaci,10,"Hayir, standart yeterli",3,Ankara,Cankaya,3544
Yerinde,30,"Hayir, standart yeterli",3,Ankara,Cankaya,3781
Yikamaci,40,"Hayir, standart yeterli",4,Adana,Cukurova,3298
Yikamaci,20,"Hayir, standart yeterli",4,Adana,Cukurova,2998
Yerinde,10,"Hayir, standart yeterli",3,Istanbul,Kadikoy,4249
Yerinde,20,"Hayir, standart yeterli",2,Ankara,Cankaya,3262
Yerinde,10,"Hayir, standart yeterli",1,Antalya,Kepez,2467
Yikamaci,10,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2755
Yerinde,10,"Hayir, standart yeterli",4,Istanbul,Besiktas,4550
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Antalya,Kepez,3678
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Aydin,Efeler,3455
Yerinde,20,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,3798
Yerinde,30,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3089
Yikamaci,20,"Hayir, standart yeterli",2,Istanbul,Besiktas,4625
Yikamaci,10,"Evet, cikmasi gereken lekeler var",4,Aydin,Efeler,3182
Yerinde,30,"Hayir, standart yeterli",1,Istanbul,Besiktas,4452
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,2982
Yikamaci,30,"Hayir, standart yeterli",1,Ankara,Kecioren,3795
Yikamaci,20,"Hayir, standart yeterli",3,Antalya,Muratpasa,3290
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,3988
Yerinde,10,"Hayir, standart yeterli",4,Ankara,Cankaya,3367
Yikamaci,10,"Evet, cikmasi gereken lekeler var",4,Istanbul,Besiktas,5076
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,3479
Yikamaci,10,"Hayir, standart yeterli",2,Istanbul,Besiktas,4506
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Ankara,Kecioren,4372
Yerinde,30,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2670
Yikamaci,20,"Hayir, standart yeterli",2,Ankara,Cankaya,3562
Yikamaci,10,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4356
Yikamaci,30,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4788
Yerinde,30,"Hayir, standart yeterli",4,Ankara,Kecioren,3911
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,3784
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2557
Yerinde,20,"Hayir, standart yeterli",1,Istanbul,Besiktas,4126
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,4181
Yerinde,10,"Hayir, standart yeterli",1,Antalya,Kepez,2549
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,3376
Yerinde,20,"Hayir, standart yeterli",4,Adana,Seyhan,2700
Yikamaci,40,"Hayir, standart yeterli",4,Antalya,Kepez,3830
Yerinde,20,"Hayir, standart yeterli",1,Adana,Seyhan,2236
Yikamaci,20,"Hayir, standart yeterli",3,Antalya,Kepez,3359
Yikamaci,30,"Hayir, standart yeterli",2,Antalya,Muratpasa,3337
Yerinde,30,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2857
Yerinde,30,"Hayir, standart yeterli",2,Antalya,Muratpasa,3045
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Ankara,Cankaya,4264
Yikamaci,30,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,4181
Yerinde,20,"Hayir, standart yeterli",1,Istanbul,Besiktas,4101
Yikamaci,40,"Hayir, standart yeterli",1,Adana,Cukurova,2913
Yikamaci,30,"Hayir, standart yeterli",2,Aydin,Efeler,3111
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,4806
Yikamaci,20,"Hayir, standart yeterli",2,Istanbul,Besiktas,4550
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,3009
Yerinde,40,"Hayir, standart yeterli",2,Antalya,Kepez,3204
Yerinde,20,"Hayir, standart yeterli",4,Adana,Seyhan,2599
Yerinde,40,"Hayir, standart yeterli",4,Adana,Seyhan,3130
Yerinde,40,"Hayir, standart yeterli",4,Istanbul,Besiktas,5138
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2812
Yerinde,10,"Hayir, standart yeterli",4,Antalya,Kepez,3018
Yerinde,40,"Hayir, standart yeterli",3,Aydin,Nazilli,3043
Yerinde,20,"Hayir, standart yeterli",2,Aydin,Nazilli,2468
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,3546
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,4789
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,4817
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3499
Yikamaci,30,"Evet, cikmasi gereken lekeler var",4,Istanbul,Besiktas,5398
Yikamaci,10,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2682
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,2819
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,3555
Yikamaci,10,"Hayir, standart yeterli",2,Adana,Cukurova,2438
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,2991
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2891
Yikamaci,30,"Hayir, standart yeterli",4,Ankara,Cankaya,4064
Yikamaci,10,"Hayir, standart yeterli",3,Antalya,Kepez,3110
Yikamaci,10,"Hayir, standart yeterli",4,Adana,Seyhan,2766
Yikamaci,20,"Hayir, standart yeterli",2,Adana,Seyhan,2701
Yikamaci,40,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,3115
Yerinde,20,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,2902
Yerinde,10,"Hayir, standart yeterli",4,Ankara,Cankaya,3377
Yerinde,30,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,4825
Yerinde,20,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,3705
Yerinde,40,"Evet, cikmasi gereken lekeler var",2,Adana,Seyhan,2968
Yikamaci,40,"Hayir, standart yeterli",4,Aydin,Nazilli,3490
Yerinde,10,"Hayir, standart yeterli",2,Ankara,Kecioren,3238
Yerinde,30,"Hayir, standart yeterli",4,Adana,Cukurova,2835
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,4899
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,3797
Yerinde,10,"Hayir, standart yeterli",1,Antalya,Muratpasa,2487
Yikamaci,20,"Hayir, standart yeterli",1,Ankara,Cankaya,3519
Yerinde,10,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,3462
Yerinde,20,"Hayir, standart yeterli",4,Istanbul,Kadikoy,4571
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Ankara,Kecioren,3274
Yikamaci,30,"Hayir, standart yeterli",4,Aydin,Nazilli,3296
Yikamaci,30,"Hayir, standart yeterli",3,Antalya,Kepez,3556
Yikamaci,10,"Hayir, standart yeterli",4,Antalya,Kepez,3281
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Aydin,Efeler,3110
Yerinde,10,"Hayir, standart yeterli",4,Antalya,Kepez,3015
Yikamaci,10,"Hayir, standart yeterli",4,Aydin,Efeler,3022
Yerinde,20,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,4807
Yikamaci,10,"Hayir, standart yeterli",4,Ankara,Kecioren,3768
Yikamaci,20,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,4999
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,5119
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,4018
Yikamaci,20,"Hayir, standart yeterli",1,Adana,Cukurova,2470
Yerinde,40,"Hayir, standart yeterli",1,Istanbul,Besiktas,4675
Yerinde,30,"Hayir, standart yeterli",3,Aydin,Efeler,2863
Yerinde,20,"Hayir, standart yeterli",3,Istanbul,Besiktas,4556
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,2802
Yikamaci,20,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3632
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2990
Yerinde,20,"Hayir, standart yeterli",4,Aydin,Efeler,2919
Yikamaci,20,"Hayir, standart yeterli",1,Adana,Seyhan,2497
Yerinde,30,"Hayir, standart yeterli",1,Aydin,Nazilli,2627
Yikamaci,30,"Hayir, standart yeterli",3,Adana,Cukurova,2940
Yerinde,10,"Hayir, standart yeterli",2,Istanbul,Besiktas,4153
Yikamaci,30,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,4977
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2887
Yikamaci,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2890
Yerinde,40,"Hayir, standart yeterli",3,Istanbul,Besiktas,4825
Yikamaci,30,"Hayir, standart yeterli",1,Adana,Seyhan,2613
Yikamaci,40,"Hayir, standart yeterli",3,Ankara,Cankaya,4196
Yerinde,30,"Hayir, standart yeterli",1,Ankara,Kecioren,3441
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,4293
