yikama_yeri,metrekare,leke_durumu,parca_sayisi,il,ilce,fiyat
Yikamaci,10,"Hayir, standart yeterli",4,Aydin,Efeler,2943
Yerinde,45,"Hayir, standart yeterli",1,Ankara,Kecioren,3770
Yikamaci,30,"Hayir, standart yeterli",1,Adana,Cukurova,2781
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,3473
Yikamaci,30,"Hayir, standart yeterli",2,Antalya,Kepez,3377
Yikamaci,30,"Hayir, standart yeterli",4,Istanbul,Besiktas,5110
Yikamaci,30,"Hayir, standart yeterli",2,Antalya,Muratpasa,3346
Yerinde,10,"Hayir, standart yeterli",2,Antalya,Muratpasa,2683
Yerinde,25,"Hayir, standart yeterli",4,Adana,Cukurova,2710
Yikamaci,50,"Hayir, standart yeterli",4,Antalya,Kepez,4033
Yerinde,25,"Hayir, standart yeterli",2,Ankara,Kecioren,3427
Yerinde,40,"Hayir, standart yeterli",1,Adana,Cukurova,2515
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2820
Yikamaci,30,"Evet, cikmasi gereken lekeler var",4,Ankara,Cankaya,4483
Yikamaci,25,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3441
Yerinde,10,"Evet, cikmasi gereken lekeler var",4,Istanbul,Besiktas,4791
Yikamaci,25,"Evet, cikmasi gereken lekeler var",3,Adana,Cukurova,3217
Yerinde,25,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,3659
Yerinde,35,"Hayir, standart yeterli",1,Aydin,Efeler,2729
Yerinde,30,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3539
Yerinde,25,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4264
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3480
Yikamaci,25,"Hayir, standart yeterli",4,Ankara,Kecioren,4017
Yerinde,15,"Hayir, standart yeterli",4,Istanbul,Besiktas,4466
Yerinde,25,"Evet, cikmasi gereken lekeler var",2,Aydin,Efeler,2862
Yerinde,30,"Hayir, standart yeterli",4,Ankara,Kecioren,3850
Yerinde,40,"Hayir, standart yeterli",1,Aydin,Efeler,2808
Yikamaci,25,"Hayir, standart yeterli",2,Istanbul,Besiktas,4729
Yikamaci,15,"Evet, cikmasi gereken lekeler var",4,Istanbul,Kadikoy,5156
Yikamaci,20,"Hayir, standart yeterli",3,Ankara,Cankaya,3880
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,5533
Yerinde,35,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,4000
Yikamaci,10,"Hayir, standart yeterli",2,Adana,Cukurova,2479
Yikamaci,40,"Hayir, standart yeterli",3,Adana,Cukurova,3133
Yerinde,50,"Hayir, standart yeterli",2,Antalya,Kepez,3359
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Aydin,Nazilli,3027
Yerinde,30,"Hayir, standart yeterli",4,Aydin,Nazilli,3148
Yikamaci,45,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3998
Yerinde,15,"Hayir, standart yeterli",2,Aydin,Efeler,2459
Yerinde,50,"Evet, cikmasi gereken lekeler var",1,Adana,Seyhan,3133
Yikamaci,15,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,4834
Yerinde,20,"Hayir, standart yeterli",2,Istanbul,Besiktas,4429
Yikamaci,45,"Hayir, standart yeterli",3,Aydin,Efeler,3530
Yerinde,45,"Hayir, standart yeterli",1,Antalya,Muratpasa,3160
Yikamaci,10,"Hayir, standart yeterli",1,Ankara,Kecioren,3380
Yerinde,50,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3300
Yerinde,50,"Evet, cikmasi gereken lekeler var",1,Adana,Cukurova,3106
Yikamaci,10,"Evet, cikmasi gereken lekeler var",4,Antalya,Kepez,3550
Yikamaci,10,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4206
Yerinde,20,"Hayir, standart yeterli",2,Istanbul,Besiktas,4308
Yikamaci,30,"Hayir, standart yeterli",4,Istanbul,Besiktas,5217
Yikamaci,30,"Hayir, standart yeterli",2,Adana,Cukurova,2935
Yikamaci,20,"Hayir, standart yeterli",2,Adana,Seyhan,2738
Yerinde,45,"Hayir, standart yeterli",2,Antalya,Kepez,3280
Yerinde,35,"Hayir, standart yeterli",1,Aydin,Nazilli,2686
Yerinde,35,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4562
Yerinde,45,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,3120
Yikamaci,15,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2937
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Adana,Cukurova,2301
Yerinde,45,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,3405
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,4381
Yikamaci,45,"Hayir, standart yeterli",4,Aydin,Nazilli,3643
Yikamaci,15,"Hayir, standart yeterli",1,Antalya,Muratpasa,2818
Yikamaci,40,"Hayir, standart yeterli",1,Aydin,Nazilli,3105
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Ankara,Cankaya,4329
Yerinde,35,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3385
Yikamaci,10,"Hayir, standart yeterli",4,Ankara,Kecioren,3835
Yerinde,20,"Hayir, standart yeterli",3,Antalya,Muratpasa,3099
Yikamaci,40,"Hayir, standart yeterli",1,Aydin,Efeler,3015
Yikamaci,25,"Hayir, standart yeterli",4,Antalya,Muratpasa,3554
Yerinde,15,"Hayir, standart yeterli",3,Aydin,Efeler,2591
Yikamaci,45,"Evet, cikmasi gereken lekeler var",1,Istanbul,Kadikoy,5267
Yikamaci,15,"Hayir, standart yeterli",1,Aydin,Nazilli,2677
Yikamaci,50,"Hayir, standart yeterli",2,Aydin,Efeler,3352
Yerinde,35,"Hayir, standart yeterli",4,Antalya,Kepez,3466
Yerinde,15,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,2777
Yerinde,25,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,4700
Yikamaci,15,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,4023
Yerinde,15,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,3411
Yerinde,30,"Evet, cikmasi gereken lekeler var",1,Adana,Seyhan,2681
Yikamaci,25,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,5154
Yerinde,20,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3257
Yerinde,50,"Hayir, standart yeterli",1,Adana,Seyhan,2803
Yerinde,30,"Hayir, standart yeterli",4,Ankara,Cankaya,3834
Yerinde,35,"Hayir, standart yeterli",1,Ankara,Kecioren,3502
Yikamaci,40,"Evet, cikmasi gereken lekeler var",4,Antalya,Muratpasa,4114
Yerinde,25,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3405
Yerinde,25,"Hayir, standart yeterli",4,Aydin,Nazilli,2913
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3725
Yerinde,20,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,3185
Yerinde,40,"Evet, cikmasi gereken lekeler var",1,Adana,Seyhan,2802
Yikamaci,20,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3100
Yikamaci,45,"Hayir, standart yeterli",1,Aydin,Nazilli,3252
Yerinde,30,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,3768
Yerinde,40,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,3405
Yikamaci,15,"Hayir, standart yeterli",2,Aydin,Efeler,2674
Yerinde,10,"Hayir, standart yeterli",4,Antalya,Muratpasa,3014
Yikamaci,50,"Hayir, standart yeterli",4,Adana,Cukurova,3523
Yerinde,35,"Evet, cikmasi gereken lekeler var",1,Ankara,Cankaya,3675
Yerinde,35,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,3334
Yerinde,15,"Evet, cikmasi gereken lekeler var",3,Ankara,Kecioren,3725
Yerinde,15,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4151
Yikamaci,40,"Hayir, standart yeterli",4,Istanbul,Kadikoy,5295
Yikamaci,30,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3430
Yerinde,40,"Hayir, standart yeterli",3,Adana,Seyhan,2851
Yikamaci,45,"Hayir, standart yeterli",3,Adana,Cukurova,3378
Yikamaci,50,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3864
Yikamaci,15,"Hayir, standart yeterli",2,Antalya,Kepez,3100
Yerinde,15,"Hayir, standart yeterli",4,Adana,Seyhan,2496
Yikamaci,15,"Hayir, standart yeterli",3,Aydin,Nazilli,2991
Yikamaci,50,"Hayir, standart yeterli",1,Istanbul,Kadikoy,5064
Yerinde,40,"Hayir, standart yeterli",4,Ankara,Kecioren,3984
Yerinde,30,"Hayir, standart yeterli",3,Aydin,Efeler,2843
Yerinde,45,"Hayir, standart yeterli",1,Adana,Seyhan,2736
Yerinde,35,"Hayir, standart yeterli",3,Antalya,Muratpasa,3237
Yikamaci,15,"Hayir, standart yeterli",4,Antalya,Muratpasa,3326
Yikamaci,30,"Hayir, standart yeterli",1,Adana,Cukurova,2647
Yerinde,10,"Hayir, standart yeterli",3,Antalya,Kepez,2782
Yikamaci,15,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,2873
Yerinde,15,"Hayir, standart yeterli",4,Antalya,Kepez,3051
Yikamaci,35,"Hayir, standart yeterli",3,Ankara,Kecioren,4104
Yerinde,40,"Hayir, standart yeterli",2,Antalya,Muratpasa,3200
Yerinde,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2720
Yerinde,50,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,3620
Yerinde,10,"Hayir, standart yeterli",3,Aydin,Nazilli,2409
Yikamaci,35,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3576
Yerinde,10,"Evet, cikmasi gereken lekeler var",2,Istanbul,Kadikoy,4398
Yikamaci,10,"Hayir, standart yeterli",2,Adana,Seyhan,2397
Yerinde,15,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,4422
Yerinde,50,"Hayir, standart yeterli",4,Aydin,Efeler,3443
Yikamaci,45,"Hayir, standart yeterli",2,Antalya,Muratpasa,3747
Yikamaci,20,"Hayir, standart yeterli",3,Adana,Seyhan,2799
Yerinde,45,"Hayir, standart yeterli",2,Aydin,Efeler,2960
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Adana,Seyhan,2347
Yikamaci,35,"Hayir, standart yeterli",1,Adana,Cukurova,2782
Yerinde,40,"Hayir, standart yeterli",2,Ankara,Kecioren,3678
Yerinde,30,"Hayir, standart yeterli",4,Adana,Seyhan,2945
Yikamaci,35,"Evet, cikmasi gereken lekeler var",2,Istanbul,Besiktas,5191
Yikamaci,35,"Evet, cikmasi gereken lekeler var",3,Antalya,Muratpasa,3795
Yikamaci,10,"Hayir, standart yeterli",4,Istanbul,Kadikoy,4695
Yerinde,20,"Hayir, standart yeterli",2,Ankara,Cankaya,3348
Yikamaci,25,"Hayir, standart yeterli",4,Antalya,Muratpasa,3464
Yerinde,20,"Hayir, standart yeterli",2,Antalya,Muratpasa,2785
Yikamaci,35,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,3252
Yikamaci,15,"Evet, cikmasi gereken lekeler var",4,Adana,Cukurova,3153
Yerinde,45,"Hayir, standart yeterli",1,Antalya,Kepez,3157
Yerinde,15,"Evet, cikmasi gereken lekeler var",4,Antalya,Kepez,3311
Yerinde,50,"Hayir, standart yeterli",3,Aydin,Efeler,3288
Yikamaci,10,"Hayir, standart yeterli",4,Istanbul,Kadikoy,4761
Yerinde,15,"Hayir, standart yeterli",3,Antalya,Kepez,2903
Yikamaci,25,"Hayir, standart yeterli",3,Antalya,Kepez,3479
Yerinde,50,"Hayir, standart yeterli",1,Istanbul,Kadikoy,4720
Yikamaci,10,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,3806
Yerinde,20,"Hayir, standart yeterli",3,Ankara,Kecioren,3582
Yikamaci,45,"Evet, cikmasi gereken lekeler var",1,Antalya,Kepez,3733
Yerinde,50,"Hayir, standart yeterli",2,Aydin,Efeler,3174
Yerinde,50,"Evet, cikmasi gereken lekeler var",4,Ankara,Kecioren,4598
Yikamaci,45,"Hayir, standart yeterli",1,Antalya,Muratpasa,3542
Yikamaci,50,"Hayir, standart yeterli",1,Aydin,Nazilli,3359
Yerinde,35,"Hayir, standart yeterli",3,Antalya,Kepez,3226
Yerinde,45,"Evet, cikmasi gereken lekeler var",4,Ankara,Cankaya,4430
Yikamaci,40,"Evet, cikmasi gereken lekeler var",2,Istanbul,Kadikoy,5377
Yerinde,20,"Evet, cikmasi gereken lekeler var",1,Aydin,Nazilli,2716
Yerinde,35,"Evet, cikmasi gereken lekeler var",3,Ankara,Cankaya,3974
Yerinde,35,"Hayir, standart yeterli",1,Ankara,Kecioren,3404
Yerinde,40,"Evet, cikmasi gereken lekeler var",3,Istanbul,Besiktas,5084
Yikamaci,25,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3710
Yikamaci,20,"Evet, cikmasi gereken lekeler var",2,Antalya,Kepez,3325
Yikamaci,25,"Evet, cikmasi gereken lekeler var",1,Antalya,Muratpasa,3304
Yerinde,20,"Hayir, standart yeterli",1,Antalya,Muratpasa,2638
Yikamaci,45,"Hayir, standart yeterli",3,Istanbul,Besiktas,5375
Yerinde,15,"Hayir, standart yeterli",2,Istanbul,Kadikoy,4310
Yerinde,15,"Evet, cikmasi gereken lekeler var",3,Aydin,Nazilli,2895
Yerinde,10,"Evet, cikmasi gereken lekeler var",1,Aydin,Efeler,2423
Yikamaci,20,"Hayir, standart yeterli",3,Aydin,Nazilli,2972
Yikamaci,15,"Hayir, standart yeterli",4,Antalya,Muratpasa,3386
Yerinde,50,"Hayir, standart yeterli",1,Antalya,Muratpasa,3357
Yikamaci,20,"Hayir, standart yeterli",4,Adana,Seyhan,2965
Yikamaci,30,"Hayir, standart yeterli",3,Istanbul,Kadikoy,5019
Yikamaci,40,"Evet, cikmasi gereken lekeler var",3,Antalya,Kepez,3988
Yikamaci,10,"Evet, cikmasi gereken lekeler var",1,Istanbul,Besiktas,4536
Yikamaci,35,"Evet, cikmasi gereken lekeler var",4,Aydin,Nazilli,3672
Yikamaci,45,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,4374
Yikamaci,35,"Hayir, standart yeterli",3,Ankara,Cankaya,4131
Yerinde,35,"Hayir, standart yeterli",1,Ankara,Kecioren,3509
Yikamaci,10,"Hayir, standart yeterli",3,Adana,Seyhan,2504
Yerinde,35,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,3222
Yikamaci,35,"Hayir, standart yeterli",3,Istanbul,Besiktas,5141
Yerinde,15,"Hayir, standart yeterli",2,Aydin,Nazilli,2432
Yikamaci,20,"Hayir, standart yeterli",2,Antalya,Muratpasa,3123
Yerinde,30,"Hayir, standart yeterli",1,Ankara,Cankaya,3336
Yerinde,40,"Hayir, standart yeterli",4,Antalya,Muratpasa,3490
Yerinde,25,"Evet, cikmasi gereken lekeler var",2,Ankara,Kecioren,3623
Yikamaci,25,"Evet, cikmasi gereken lekeler var",3,Adana,Seyhan,3085
Yerinde,10,"Hayir, standart yeterli",1,Ankara,Cankaya,3080
Yikamaci,20,"Hayir, standart yeterli",4,Ankara,Kecioren,3901
Yikamaci,30,"Hayir, standart yeterli",1,Ankara,Kecioren,3786
Yerinde,10,"Hayir, standart yeterli",1,Ankara,Cankaya,2939
Yikamaci,50,"Evet, cikmasi gereken lekeler var",3,Istanbul,Kadikoy,5599
Yikamaci,45,"Evet, cikmasi gereken lekeler var",3,Adana,Seyhan,3470
Yikamaci,45,"Evet, cikmasi gereken lekeler var",4,Adana,Seyhan,3622
Yerinde,20,"Evet, cikmasi gereken lekeler var",2,Antalya,Muratpasa,3055
