il,ilce,koltuk_tipi,koltuk_sayisi,leke_durumu,fiyat
İzmir,Buca,Tekli,6,"Evet, zor lekeler var",454 TL
İzmir,Buca,L Köşe,5,"Evet, zor lekeler var",392 TL
İstanbul,Bakırköy,İkili,2,"Evet, zor lekeler var",1574 TL
Ankara,Çankaya,U Köşe,2,"Evet, zor lekeler var",1789 TL
Bursa,Osmangazi,U Köşe,6,"Hayır, genel temizlik yeterli",1529 TL
İzmir,Bornova,Tekli,1,"Hayır, genel temizlik yeterli",1466 TL
Antalya,Kepez,Üçlü,3,"Evet, zor lekeler var",1732 TL
İstanbul,Beşiktaş,İkili,3,"Hayır, genel temizlik yeterli",2059 TL
Ankara,Mamak,U Köşe,6,"Hayır, genel temizlik yeterli",538 TL
İstanbul,Kadıköy,U Köşe,4,"Evet, zor lekeler var",1823 TL
İzmir,Bornova,L Köşe,4,"Hayır, genel temizlik yeterli",1492 TL
İzmir,Buca,İkili,5,"Evet, zor lekeler var",1775 TL
Ankara,Etimesgut,Tekli,5,"Hayır, genel temizlik yeterli",1554 TL
İzmir,Karşıyaka,L Köşe,3,"Hayır, genel temizlik yeterli",1368 TL
İzmir,Buca,U Köşe,5,"Hayır, genel temizlik yeterli",1074 TL
Ankara,Çankaya,L Köşe,1,"Evet, zor lekeler var",2068 TL
Antalya,Muratpaşa,Üçlü,1,"Hayır, genel temizlik yeterli",1733 TL
Ankara,Etimesgut,U Köşe,4,"Evet, zor lekeler var",1205 TL
Ankara,Çankaya,Üçlü,1,"Evet, zor lekeler var",2135 TL
Ankara,Çankaya,Tekli,3,"Evet, zor lekeler var",1095 TL
Ankara,Etimesgut,L Köşe,2,"Hayır, genel temizlik yeterli",953 TL
Antalya,Kepez,U Köşe,1,"Evet, zor lekeler var",1681 TL
Antalya,Muratpaşa,Üçlü,1,"Hayır, genel temizlik yeterli",1056 TL
İstanbul,Üsküdar,L Köşe,4,"Evet, zor lekeler var",1787 TL
Bursa,Yıldırım,Tekli,2,"Evet, zor lekeler var",1535 TL
Bursa,Nilüfer,L Köşe,6,"Evet, zor lekeler var",393 TL
Ankara,Keçiören,Tekli,1,"Hayır, genel temizlik yeterli",1678 TL
İzmir,Karşıyaka,U Köşe,4,"Evet, zor lekeler var",2384 TL
Antalya,Muratpaşa,U Köşe,3,"Hayır, genel temizlik yeterli",1718 TL
Ankara,Etimesgut,U Köşe,2,"Evet, zor lekeler var",853 TL
İstanbul,Üsküdar,Tekli,3,"Evet, zor lekeler var",1400 TL
İzmir,Bornova,İkili,5,"Evet, zor lekeler var",1033 TL
İzmir,Karşıyaka,L Köşe,5,"Evet, zor lekeler var",1396 TL
İzmir,Konak,L Köşe,2,"Hayır, genel temizlik yeterli",1382 TL
Bursa,Nilüfer,Tekli,2,"Hayır, genel temizlik yeterli",2454 TL
İstanbul,Beşiktaş,U Köşe,2,"Hayır, genel temizlik yeterli",1199 TL
İzmir,Konak,İkili,4,"Hayır, genel temizlik yeterli",804 TL
İzmir,Bornova,Üçlü,2,"Evet, zor lekeler var",312 TL
Bursa,Yıldırım,İkili,4,"Hayır, genel temizlik yeterli",354 TL
İstanbul,Üsküdar,Tekli,6,"Evet, zor lekeler var",1720 TL
İzmir,Bornova,İkili,2,"Evet, zor lekeler var",2377 TL
Bursa,Nilüfer,Tekli,3,"Hayır, genel temizlik yeterli",2270 TL
Bursa,Osmangazi,U Köşe,2,"Hayır, genel temizlik yeterli",1508 TL
Bursa,Osmangazi,U Köşe,6,"Evet, zor lekeler var",1212 TL
Antalya,Alanya,İkili,6,"Evet, zor lekeler var",1058 TL
İstanbul,Beşiktaş,Tekli,2,"Hayır, genel temizlik yeterli",497 TL
Ankara,Çankaya,U Köşe,3,"Evet, zor lekeler var",1303 TL
Bursa,Osmangazi,İkili,2,"Hayır, genel temizlik yeterli",1811 TL
Ankara,Keçiören,L Köşe,1,"Hayır, genel temizlik yeterli",2424 TL
Ankara,Mamak,Tekli,3,"Evet, zor lekeler var",1789 TL
İstanbul,Üsküdar,Üçlü,2,"Evet, zor lekeler var",414 TL
Ankara,Keçiören,Üçlü,4,"Hayır, genel temizlik yeterli",1347 TL
İzmir,Karşıyaka,L Köşe,4,"Hayır, genel temizlik yeterli",1165 TL
Ankara,Mamak,İkili,3,"Hayır, genel temizlik yeterli",1128 TL
Bursa,Nilüfer,U Köşe,5,"Evet, zor lekeler var",867 TL
Bursa,Nilüfer,Tekli,2,"Hayır, genel temizlik yeterli",966 TL
İstanbul,Kadıköy,L Köşe,4,"Evet, zor lekeler var",2294 TL
İzmir,Konak,Tekli,4,"Evet, zor lekeler var",966 TL
Ankara,Mamak,İkili,4,"Evet, zor lekeler var",598 TL
İzmir,Bornova,L Köşe,4,"Evet, zor lekeler var",2086 TL
Antalya,Kepez,L Köşe,3,"Hayır, genel temizlik yeterli",581 TL
Bursa,Yıldırım,U Köşe,5,"Hayır, genel temizlik yeterli",1954 TL
Antalya,Kepez,İkili,6,"Evet, zor lekeler var",725 TL
Bursa,Yıldırım,Üçlü,6,"Evet, zor lekeler var",1803 TL
İstanbul,Üsküdar,Üçlü,4,"Evet, zor lekeler var",1800 TL
İzmir,Bornova,İkili,3,"Hayır, genel temizlik yeterli",528 TL
Antalya,Alanya,Üçlü,3,"Hayır, genel temizlik yeterli",2119 TL
Antalya,Muratpaşa,Tekli,6,"Hayır, genel temizlik yeterli",1978 TL
Antalya,Kepez,L Köşe,5,"Hayır, genel temizlik yeterli",1527 TL
İzmir,Buca,U Köşe,2,"Evet, zor lekeler var",528 TL
Antalya,Muratpaşa,İkili,4,"Hayır, genel temizlik yeterli",2484 TL
İzmir,Konak,L Köşe,5,"Hayır, genel temizlik yeterli",690 TL
İzmir,Konak,U Köşe,6,"Hayır, genel temizlik yeterli",1795 TL
Antalya,Muratpaşa,Tekli,5,"Evet, zor lekeler var",1280 TL
İzmir,Buca,Tekli,4,"Hayır, genel temizlik yeterli",2405 TL
Bursa,Yıldırım,U Köşe,1,"Hayır, genel temizlik yeterli",2054 TL
Bursa,Yıldırım,Üçlü,5,"Hayır, genel temizlik yeterli",1873 TL
Bursa,Osmangazi,L Köşe,4,"Hayır, genel temizlik yeterli",1481 TL
İstanbul,Beşiktaş,L Köşe,5,"Evet, zor lekeler var",1133 TL
İzmir,Bornova,Tekli,6,"Evet, zor lekeler var",1686 TL
Antalya,Kepez,U Köşe,5,"Hayır, genel temizlik yeterli",1145 TL
Bursa,Yıldırım,Tekli,1,"Hayır, genel temizlik yeterli",1681 TL
Bursa,Osmangazi,Üçlü,6,"Evet, zor lekeler var",654 TL
Ankara,Keçiören,U Köşe,4,"Evet, zor lekeler var",1727 TL
İstanbul,Beşiktaş,U Köşe,6,"Evet, zor lekeler var",1270 TL
İstanbul,Beşiktaş,Üçlü,4,"Hayır, genel temizlik yeterli",867 TL
İzmir,Bornova,L Köşe,6,"Hayır, genel temizlik yeterli",2404 TL
İstanbul,Beşiktaş,Üçlü,4,"Hayır, genel temizlik yeterli",1348 TL
İzmir,Buca,Üçlü,4,"Hayır, genel temizlik yeterli",2347 TL
Bursa,Nilüfer,L Köşe,5,"Hayır, genel temizlik yeterli",2433 TL
İzmir,Buca,U Köşe,2,"Hayır, genel temizlik yeterli",1051 TL
Ankara,Etimesgut,Üçlü,1,"Hayır, genel temizlik yeterli",889 TL
Ankara,Çankaya,İkili,1,"Evet, zor lekeler var",1589 TL
Ankara,Mamak,U Köşe,4,"Hayır, genel temizlik yeterli",471 TL
Bursa,Osmangazi,L Köşe,4,"Evet, zor lekeler var",2194 TL
İstanbul,Kadıköy,U Köşe,6,"Hayır, genel temizlik yeterli",1903 TL
İzmir,Buca,İkili,5,"Hayır, genel temizlik yeterli",1057 TL
İstanbul,Kadıköy,İkili,1,"Hayır, genel temizlik yeterli",432 TL
Bursa,Nilüfer,L Köşe,4,"Evet, zor lekeler var",572 TL
Ankara,Mamak,U Köşe,2,"Hayır, genel temizlik yeterli",2442 TL
Antalya,Alanya,U Köşe,3,"Hayır, genel temizlik yeterli",338 TL
Bursa,Osmangazi,U Köşe,3,"Hayır, genel temizlik yeterli",1923 TL
Bursa,Yıldırım,Üçlü,3,"Evet, zor lekeler var",1436 TL
Antalya,Kepez,İkili,1,"Hayır, genel temizlik yeterli",1130 TL
İzmir,Buca,Tekli,4,"Evet, zor lekeler var",2043 TL
Antalya,Muratpaşa,U Köşe,5,"Hayır, genel temizlik yeterli",1810 TL
Ankara,Keçiören,U Köşe,6,"Hayır, genel temizlik yeterli",2144 TL
İstanbul,Üsküdar,L Köşe,6,"Hayır, genel temizlik yeterli",1268 TL
Ankara,Mamak,İkili,3,"Evet, zor lekeler var",1923 TL
İzmir,Buca,İkili,5,"Hayır, genel temizlik yeterli",641 TL
İzmir,Buca,L Köşe,2,"Evet, zor lekeler var",1620 TL
İzmir,Bornova,Tekli,4,"Evet, zor lekeler var",1156 TL
Bursa,Yıldırım,Üçlü,4,"Evet, zor lekeler var",795 TL
Bursa,Osmangazi,L Köşe,5,"Hayır, genel temizlik yeterli",1581 TL
Antalya,Alanya,U Köşe,6,"Hayır, genel temizlik yeterli",2387 TL
İzmir,Buca,İkili,5,"Evet, zor lekeler var",1482 TL
İzmir,Bornova,L Köşe,3,"Hayır, genel temizlik yeterli",1720 TL
İzmir,Karşıyaka,Üçlü,2,"Hayır, genel temizlik yeterli",1296 TL
Bursa,Nilüfer,İkili,6,"Evet, zor lekeler var",1396 TL
İzmir,Buca,U Köşe,6,"Hayır, genel temizlik yeterli",445 TL
Bursa,Yıldırım,U Köşe,6,"Hayır, genel temizlik yeterli",2481 TL
İstanbul,Kadıköy,İkili,6,"Evet, zor lekeler var",1270 TL
Ankara,Keçiören,U Köşe,5,"Hayır, genel temizlik yeterli",494 TL
Ankara,Etimesgut,U Köşe,6,"Hayır, genel temizlik yeterli",2075 TL
İzmir,Buca,Tekli,2,"Hayır, genel temizlik yeterli",1366 TL
Ankara,Çankaya,Tekli,3,"Evet, zor lekeler var",769 TL
Ankara,Etimesgut,İkili,3,"Evet, zor lekeler var",1335 TL
İzmir,Buca,Tekli,1,"Evet, zor lekeler var",796 TL
İzmir,Konak,İkili,5,"Evet, zor lekeler var",542 TL
Antalya,Kepez,U Köşe,3,"Evet, zor lekeler var",619 TL
İstanbul,Beşiktaş,L Köşe,5,"Hayır, genel temizlik yeterli",736 TL
İstanbul,Kadıköy,İkili,2,"Hayır, genel temizlik yeterli",379 TL
İstanbul,Kadıköy,Tekli,2,"Hayır, genel temizlik yeterli",2386 TL
İstanbul,Kadıköy,İkili,3,"Hayır, genel temizlik yeterli",1608 TL
Antalya,Alanya,Tekli,6,"Evet, zor lekeler var",573 TL
İzmir,Konak,L Köşe,1,"Evet, zor lekeler var",2269 TL
Antalya,Alanya,L Köşe,4,"Evet, zor lekeler var",581 TL
İstanbul,Üsküdar,Üçlü,2,"Hayır, genel temizlik yeterli",1874 TL
İstanbul,Beşiktaş,U Köşe,6,"Hayır, genel temizlik yeterli",430 TL
İzmir,Bornova,Tekli,5,"Hayır, genel temizlik yeterli",1876 TL
Ankara,Etimesgut,Üçlü,6,"Evet, zor lekeler var",1272 TL
İstanbul,Bakırköy,Tekli,4,"Hayır, genel temizlik yeterli",397 TL
Bursa,Yıldırım,U Köşe,4,"Evet, zor lekeler var",855 TL
Antalya,Kepez,U Köşe,4,"Hayır, genel temizlik yeterli",346 TL
Bursa,Yıldırım,İkili,2,"Hayır, genel temizlik yeterli",1480 TL
Ankara,Mamak,Tekli,2,"Hayır, genel temizlik yeterli",2187 TL
Bursa,Yıldırım,İkili,3,"Hayır, genel temizlik yeterli",1477 TL
Bursa,Yıldırım,Tekli,3,"Evet, zor lekeler var",815 TL
İzmir,Konak,Üçlü,2,"Hayır, genel temizlik yeterli",964 TL
İstanbul,Bakırköy,Tekli,5,"Evet, zor lekeler var",318 TL
Ankara,Keçiören,İkili,1,"Evet, zor lekeler var",344 TL
Antalya,Muratpaşa,Tekli,2,"Evet, zor lekeler var",2451 TL
İstanbul,Beşiktaş,U Köşe,1,"Evet, zor lekeler var",1249 TL
İstanbul,Üsküdar,Tekli,2,"Evet, zor lekeler var",1270 TL
Antalya,Alanya,Üçlü,1,"Evet, zor lekeler var",547 TL
Antalya,Kepez,Tekli,4,"Hayır, genel temizlik yeterli",772 TL
İstanbul,Kadıköy,L Köşe,5,"Evet, zor lekeler var",749 TL
İstanbul,Beşiktaş,U Köşe,4,"Hayır, genel temizlik yeterli",1164 TL
İzmir,Buca,U Köşe,2,"Hayır, genel temizlik yeterli",2075 TL
İzmir,Bornova,Üçlü,4,"Hayır, genel temizlik yeterli",865 TL
Antalya,Alanya,U Köşe,2,"Evet, zor lekeler var",1362 TL
Bursa,Yıldırım,Üçlü,5,"Evet, zor lekeler var",1631 TL
Antalya,Kepez,Tekli,3,"Evet, zor lekeler var",2331 TL
Antalya,Muratpaşa,Tekli,3,"Evet, zor lekeler var",551 TL
Bursa,Osmangazi,Tekli,1,"Hayır, genel temizlik yeterli",2350 TL
İstanbul,Beşiktaş,L Köşe,3,"Evet, zor lekeler var",766 TL
Ankara,Etimesgut,Üçlü,1,"Hayır, genel temizlik yeterli",1450 TL
İstanbul,Beşiktaş,U Köşe,6,"Hayır, genel temizlik yeterli",1766 TL
Bursa,Osmangazi,U Köşe,4,"Evet, zor lekeler var",1645 TL
İstanbul,Beşiktaş,U Köşe,2,"Evet, zor lekeler var",759 TL
Bursa,Nilüfer,U Köşe,2,"Evet, zor lekeler var",1711 TL
Bursa,Osmangazi,U Köşe,4,"Evet, zor lekeler var",1361 TL
Bursa,Osmangazi,İkili,4,"Hayır, genel temizlik yeterli",1279 TL
Antalya,Alanya,Tekli,4,"Evet, zor lekeler var",1511 TL
Bursa,Yıldırım,U Köşe,4,"Hayır, genel temizlik yeterli",1920 TL
Antalya,Muratpaşa,İkili,2,"Evet, zor lekeler var",732 TL
İstanbul,Üsküdar,İkili,5,"Hayır, genel temizlik yeterli",466 TL
Ankara,Çankaya,İkili,3,"Hayır, genel temizlik yeterli",1775 TL
İzmir,Buca,Üçlü,2,"Hayır, genel temizlik yeterli",2106 TL
Bursa,Yıldırım,Üçlü,1,"Hayır, genel temizlik yeterli",697 TL
Bursa,Yıldırım,Üçlü,4,"Hayır, genel temizlik yeterli",2086 TL
İstanbul,Kadıköy,Tekli,2,"Hayır, genel temizlik yeterli",614 TL
Antalya,Kepez,Üçlü,4,"Hayır, genel temizlik yeterli",1809 TL
Ankara,Etimesgut,L Köşe,3,"Evet, zor lekeler var",330 TL
Bursa,Osmangazi,İkili,2,"Evet, zor lekeler var",2284 TL
Ankara,Mamak,İkili,5,"Evet, zor lekeler var",1282 TL
İstanbul,Beşiktaş,L Köşe,2,"Evet, zor lekeler var",1766 TL
İzmir,Karşıyaka,Üçlü,3,"Evet, zor lekeler var",2265 TL
